Partei: Nr.;Partei: Kurzbezeichnung;Partei: Name;These: Nr.;These: Titel;These: These;Position: Position;Position: Begründung
17;PdH;Partei der Humanisten - Fakten, Freiheit, Fortschritt;18;Ökologische Landwirtschaft;Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.;stimme nicht zu;Ökologische Landwirtschaft, wie sie heute definiert ist, kann unter Umständen weniger umweltfreundlich als die konventionelle Landwirtschaft sein. Ein Grund dafür sind z.B. geringere Erträge, welche zu einem größeren Flächenverbrauch führen. Darum setzen wir uns für das Konzept der „nachhaltigen Intensivierung“ ein, mit dem wir unter Verwendung moderner Technologien (z. B. grüne Gentechnik) gleichzeitig hohe Erträge, hochwertige Nahrungsmittel und geringe Umweltbelastungen verwirklichen wollen.
18;Bündnis C;Bündnis C - Christen für Deutschland;18;Ökologische Landwirtschaft;Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.;stimme zu;
19;BP;Bayernpartei;18;Ökologische Landwirtschaft;Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.;stimme nicht zu;
20;MLPD;Marxistisch-Leninistische Partei Deutschlands;18;Ökologische Landwirtschaft;Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.;stimme zu;Die monopolistische Agrarindustrie und die Handelskonzerne betreiben im Sinne des Maximalprofits eine sehr umweltschädliche Landwirtschaft mit Monokulturen, großflächigem Einsatz von Pestiziden und einer Massentierhaltung ohne jede Rücksicht auf eine artgerechte Tierhaltung. Abbau von Monokulturen!
21;MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller;18;Ökologische Landwirtschaft;Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.;stimme zu;Landwirtschaftliche Ansätze mit echten ökologischen Vorzügen sollten selbstverständlich stärker gefördert werden als konventionelle Methoden. Wichtig ist jedoch, dass die Förderungen auch tatsächlich ihren angestrebten Zweck erfüllen.
22;PdF;Partei des Fortschritts;18;Ökologische Landwirtschaft;Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.;stimme zu;Die ökologische Landwirtschaft schützt Böden, Wasser und Biodiversität, reduziert den Einsatz von Pestiziden und Düngemitteln und trägt zur Förderung des Tierwohls bei. Eine stärkere Förderung schafft Anreize für nachhaltige Praktiken, unterstützt den Klimaschutz und kommt den wachsenden Erwartungen der Gesellschaft an umweltfreundliche Produktionsmethoden entgegen. So wird langfristig eine resiliente und nachhaltige Agrarwirtschaft etabliert.
23;SGP;Sozialistische Gleichheitspartei, Vierte Internationale;18;Ökologische Landwirtschaft;Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.;stimme zu;Um die ausreichende Ernährung der Weltbevölkerung sicherzustellen, ist auf allen Gebieten der Landwirtschaft ein ökologischer und nachhaltiger Anbau zu gewährleisten, der nicht auf kurzfristigen Profit ausgerichtet ist. Dies ist nur in einer planwirtschaftlich organisierten Wirtschaft in einer sozialistischen Gesellschaft möglich, in der die Produktion anhand der Bedürfnisse der Bevölkerung ausgerichtet wird und nicht nach den Profitinteressen von Unternehmen.
24;BüSo;Bürgerrechtsbewegung Solidarität;18;Ökologische Landwirtschaft;Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.;stimme nicht zu;Das Höfesterben muß beendet werden. Familienbetriebe müssen gefördert werden, bzw. es müssen Paritätspreise gezahlt werden. Denn nur wenn die Landwirtschaft kostendeckende Preise bekommt, kann Menge und Qualität der Lebensmittel erhalten oder verbessert werden.
25;BÜNDNIS DEUTSCHLAND;BÜNDNIS DEUTSCHLAND;18;Ökologische Landwirtschaft;Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.;stimme zu;Die ökologische Landwirtschaft liefert einen wesentlichen Beitrag zum Umweltschutz z.B. durch den Verzicht des Einsatzes chemisch-synthetischer Pflanzenschutz- und Düngemittel und zum Tierwohl durch artgerechte Tierhaltung. Die konventionelle Landwirtschaft soll aber auch weiter berücksichtigt werden und verdient Wertschätzung.
26;BSW;Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit;18;Ökologische Landwirtschaft;Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.;neutral;Wir streben eine Landwirtschaftspolitik im Interesse der Verbraucher an, die unsere Landwirte vorgroßen Agrarkonzernen schützt, lokal ausgerichtet ist und zu Tier- und Umweltschutz beiträgt. Es muss darum gehen, die konventionelle Landwirtschaft ökologischer zu machen und nicht einseitig vor allem Biobetriebe zu fördern.
27;MERA25;MERA25 - Gemeinsam für Europäische Unabhängigkeit;18;Ökologische Landwirtschaft;Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.;stimme zu;Die Landwirtschafts- und Fischereipolitik der Bundesregierung muss grundlegend neu gestaltet werden. Förderung muss zu 100 % ökologische und soziale Zweckbindung enthalten sowie die Handlungskapazität lokal befähigen. Kleine Betriebe, Junglandwirt:innen und Quereinsteiger:innen müssen Zugang zu Böden und Produktionsmitteln erhalten. Regulation darf keine lokale Selbstbestimmung unterbinden. Naturschutz darf Menschen und Natur nicht trennen.
28;WerteUnion;WerteUnion;18;Ökologische Landwirtschaft;Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.;stimme nicht zu;Nachhaltige und ökologische Landwirtschaft muss freiwillig und aus Überzeugung betrieben werden.
1;SPD;Sozialdemokratische Partei Deutschlands;19;Projekte gegen Rechtsextremismus;Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.;stimme zu;Eine lebendige Zivilgesellschaft ist das Rückgrat unserer Demokratie. Rechtsextremismus bedroht die demokratische Grundordnung, schürt Hass und spaltet unsere Gemeinschaft. 2024 erreichte die rechtsextreme Kriminalität mit 33.963 Straftaten, darunter 1.136 Gewaltdelikte, einen traurigen Höchststand. Mit dem Demokratiefördergesetz und Programmen wie Demokratie leben! unterstützen wir Initiativen gegen Extremismus, fördern Engagement und sichern den gesellschaftlichen Zusammenhalt.
2;CDU / CSU;Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.;19;Projekte gegen Rechtsextremismus;Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.;stimme zu;Wir brauchen Wachsamkeit gegenüber jeder Form von Extremismus, von Gewalt und Terror – ob es sich um Rechts- oder Linksextremismus handelt oder den Islamismus. Rechtsextremisten delegitimieren unseren Staat und seine Institutionen. Offene Gewaltbereitschaft und Ausländerfeindlichkeit machen sie besonders gefährlich. Wir bekämpfen sie mit voller Härte auf der Basis unseres 2020 gestarteten Maßnahmenpakets gegen Rechtsextremismus.
3;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;19;Projekte gegen Rechtsextremismus;Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.;stimme zu;Der Rechtsextremismus stellt nach Einschätzungen der Sicherheitsbehörden die größte Gefahr für unsere Demokratie dar. Die Förderung von Projekten, die über Rechtsextremismus aufklären, ist daher sehr wichtig. Sie ermöglicht eine umfassende und flächendeckende Bildungs- und Demokratiearbeit. Darüber hinaus ist es wichtig, dass auch Projekte gegen jede andere Form von Extremismus, wie den Islamismus, gefördert werden.
4;FDP;Freie Demokratische Partei;19;Projekte gegen Rechtsextremismus;Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.;stimme zu;Wir lehnen jede Form des politischen und religiösen Extremismus strikt ab. Vorhandene Projekte gegen Rechtsextremismus müssen auf ihre Wirksamkeit hin überprüft werden. Sinnvolle Projekte sollten durch den Staat gefördert werden. Eine Verstetigung im Wege eines so genannten Demokratiefördergesetzes lehnen wir ab. Neben einer Bekämpfung des Rechtsextremismus müssen auch Projekte gegen Islamismus evaluiert und, bei Bedarf, stärker gefördert werden.
5;AfD;Alternative für Deutschland;19;Projekte gegen Rechtsextremismus;Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.;stimme nicht zu;Die bisherige Förderung gegen Rechtsextremismus dient vor allem der Finanzierung linker Vorfeldorganisationen bis hin zu extremistischen und gewaltbereiten Vereinigungen. Dementsprechend weigern sich diese Organisationen auch ein Bekenntnis zur freiheitlich-demokratischen Grundordnung als Voraussetzung zur Finanzierung abzugeben. Die ihnen nahestehenden Parteien haben ein solche Bekenntnis als Voraussetzung auch verhindert.
6;Die Linke;Die Linke;19;Projekte gegen Rechtsextremismus;Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.;stimme zu;Projekte gegen Rechtsextremismus und zur Stärkung der Demokratie sind auf öffentliche Förderung angewiesen. Die vielen Ehrenamtlichen, die sich hier engagieren, brauchen die Unterstützung durch hauptamtliche, professionelle Kräfte. Deshalb muss diese Förderung auf gesetzliche Füße gestellt werden.
7;SSW;Südschleswigscher Wählerverband;19;Projekte gegen Rechtsextremismus;Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.;stimme zu;Unser nordisches Demokratieverständnis ist davon geprägt, dass wir uns auch mit Positionen auseinandersetzen, die wir ablehnen. Dabei dürfen wir nicht blind gegenüber Positionen und Verhaltensweisen sein, die unsere liberale Demokratie gefährden. Wir wollen Mittel für politische Bildung und Demokratieinitiativen auf Maßnahmen lenken, die sich gegen Rassismus, Antisemitismus und Diskriminierung stellen. Die Maßnahmen sollten frühzeitiger und verpflichtender Teil der politischen Bildung sein.
8;FREIE WÄHLER;FREIE WÄHLER;19;Projekte gegen Rechtsextremismus;Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.;stimme zu;Wir stehen klar gegen jede Form des Extremismus. Wir treten jeglicher Form von Antisemitismus, Intoleranz, Fremdenfeindlichkeit und Rassismus entschlossen entgegen. Dies alles stellt eine Gefahr für die Demokratie und den gesellschaftlichen Zusammenhalt dar. Wir werden uns mit aller Entschiedenheit dafür einsetzen, extremistische Tendenzen zu bekämpfen und den Schutz der freiheitlich-demokratischen Grundordnung zu gewährleisten.
9;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;19;Projekte gegen Rechtsextremismus;Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.;stimme zu;Wir unterstützen eine verstärkte Förderung von Projekten gegen Rechtsextremismus, da dieser eine Gefahr für die Demokratie und den gesellschaftlichen Zusammenhalt darstellt. Es ist entscheidend, Aufklärung, Prävention und Unterstützung für Betroffene zu stärken. Eine klare Haltung gegen Diskriminierung, Gewalt und Hass ist unverzichtbar, um eine solidarische und vielfältige Gesellschaft zu fördern.
10;dieBasis;Basisdemokratische Partei Deutschland;19;Projekte gegen Rechtsextremismus;Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.;stimme nicht zu;Jede Form von Extremismus und totalitären Strömungen lehnt dieBasis entschieden ab. Unabhängig davon, ob sie aus dem linken oder rechten Spektrum kommen. Dennoch sind wir dagegen, Steuergelder für die Förderung oder Bekämpfung einzelner politischer Ansichten auszugeben. Abgesehen davon, dass der Begriff des Rechtsextremismus durch die Medien inzwischen sehr verwässert ist, sind Projekte gegen politische Strömungen einer Gesellschaft als antidemokratisch und spaltend einzustufen.
11;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;19;Projekte gegen Rechtsextremismus;Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.;stimme zu;Nazis töten.
12;Die Gerechtigkeitspartei - Team Todenhöfer;Die Gerechtigkeitspartei - Team Todenhöfer;19;Projekte gegen Rechtsextremismus;Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.;stimme zu;Wir von der Gerechtigkeitspartei lehnen jede Form von Extremismus ab und setzen uns für verstärkte präventive sowie aufklärende Maßnahmen ein. Nur durch frühzeitige Aufklärung und gezielte Prävention können wir den gefährlichen Entwicklungen entgegenwirken und eine offene, tolerante Gesellschaft bewahren.
13;PIRATEN;Piratenpartei Deutschland;19;Projekte gegen Rechtsextremismus;Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.;stimme zu;Totalitäre, diktatorische und faschistische Bestrebungen jeder Art lehnt die Piratenpartei Deutschland entschieden ab. Wir unterstützen somit Projekte, die dieses Ziel verfolgen.
14;Volt;Volt Deutschland;19;Projekte gegen Rechtsextremismus;Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.;stimme zu;Volts Lösung für mehr Vielfalt und gegen nationale Parolen ist die Förderung der Zivilgesellschaft, Demokratiebildung, eine gelebte Erinnerungskultur und interkulturelle Programme sowie mehr Begegnungsorte.
15;ÖDP;Ökologisch-Demokratische Partei - Die Naturschutzpartei;19;Projekte gegen Rechtsextremismus;Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.;stimme zu;Der Rechtsextremismus stellt eine zunehmende Bedrohung für den demokratischen und sozialen Rechtsstaat dar. Projekte gegen Rechtsextremismus sollten vorrangig angebunden sein an Träger öffentlich-rechtlicher Struktur wie z. B. Volkshochschulen und freie Träger der Jugendarbeit (Jugendringe). Gleichermaßen sind auch Projekte gegen andere Formen des politischen und religiösen Extremismus sowie gegen Antisemitismus zu fördern.
16;Verjüngungsforschung;Partei für Verjüngungsforschung;19;Projekte gegen Rechtsextremismus;Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.;neutral;Unsere Partei hat hierzu keine Position. Das einzige Ziel der Partei für Verjüngungsforschung ist, die Entwicklung von Medizin zu beschleunigen, mit der Menschen durch Verjüngung tausende Jahre gesund leben können. Pro Tag sterben weltweit über 100.000 Menschen am Altern und damit verbundenen Alterskrankheiten. Zukünftige Medizin wird diese Menschenleben wahrscheinlich retten können. Dafür sollen 10% des Bundeshaushaltes pro Jahr zusätzlich in diesen Bereich investiert werden.
17;PdH;Partei der Humanisten - Fakten, Freiheit, Fortschritt;19;Projekte gegen Rechtsextremismus;Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.;stimme zu;Extremismus stellt eine Gefahr für unsere freiheitliche, demokratische Gesellschaft dar. Projekte insbesondere zur Demokratieförderung, Sensibilisierung und Extremismusprävention sollten deshalb verstärkt finanziell gefördert werden. Hierzu zählen wir auch niederschwellige Angebote für Aussteiger, um diese wieder erfolgreich in unsere Gesellschaft zu integrieren.
18;Bündnis C;Bündnis C - Christen für Deutschland;19;Projekte gegen Rechtsextremismus;Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.;stimme nicht zu;
19;BP;Bayernpartei;19;Projekte gegen Rechtsextremismus;Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.;stimme nicht zu;Die Thematik der Förderung von Projekten gegen Extremismus sollte, wie praktisch alle wichtigen politischen Fragen, nicht auf Bundesebene, sondern durch die Länder entschieden werden.
20;MLPD;Marxistisch-Leninistische Partei Deutschlands;19;Projekte gegen Rechtsextremismus;Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.;stimme zu;Wir fordern in diesem Zusammenhang das Verbot aller faschistischen Organisationen und Parteien und ihrer Propaganda auf Grundlage des Potsdamer Abkommens! Allerdings lehnen wir den „Extremismus“ begriff ab, weil damit linke und rechte Politik auf eine Stufe gestellt und der Faschismus verharmlost wird. Wir verankern: Wer AfD wählt, wählt Faschismus.
21;MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller;19;Projekte gegen Rechtsextremismus;Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.;stimme nicht zu;Alle strafbaren Handlungen, egal ob politisch motiviert oder nicht oder von welchen Seiten sie politisch motiviert sind, sollten geahndet werden. Es ist nicht die Aufgabe des Staates, dessen Macht Funktionären politischer Parteien anvertraut wird, bestimmte politische Strömungen mit Staatsmitteln zu fördern oder zu bekämpfen. Hier kommt es schnell zu Machtmissbrauch, bei dem amtierende Politiker ihre Macht ausnutzen, um politische Konkurrenten mit Vorwürfen des Extremismus zu bekämpfen.
